Unnamed: 0,text,preprocess_texts,tokens,tokens_no_stopwords
2057,"@hamat24433982 برای اینکه اهداف سند چشم‌انداز محقق گردد #رضایی_بیا
#آقامحسن_ایران 
#محسن_رضایی
#اقدام_و_تحول",برای اینکه اهداف سند چشمانداز محقق گردد  رضایی بیا آقامحسن ایران  محسن رضایی اقدام و تحول,"['برای', 'اینکه', 'اهداف', 'سند', 'چشمانداز', 'محقق', 'گردد', 'رضایی', 'بیا', 'آقامحسن', 'ایران', 'محسن', 'رضایی', 'اقدام', 'و', 'تحول']","['اهداف', 'سند', 'چشمانداز', 'محقق', 'رضایی', 'بیا', 'آقامحسن', 'ایران', 'محسن', 'رضایی', 'اقدام', 'تحول']"
2058,"RT @tarar_2: دید محبت، طور محبت
حسن، تجلّی، نور محبت

 #مارخورز",دید محبت طور محبتحسن تجلّی نور محبت  مارخورز,"['دید', 'محبت', 'طور', 'محبتحسن', 'تجلّی', 'نور', 'محبت', 'مارخورز']","['دید', 'محبت', 'محبتحسن', 'تجلّی', 'نور', 'محبت', 'مارخورز']"
2059,@fanoos_vatan @ARDESHIR003 احيانا فکر نمي کنيد داريم به اين موجودات با ارزش (کفتار❤️) توهين مي کنيم؟!,احيانا فکر نمي کنيد داريم به اين موجودات با ارزش کفتار❤️ توهين مي کنيم,"['احيانا', 'فکر', 'نمي', 'کنيد', 'داريم', 'به', 'اين', 'موجودات', 'با', 'ارزش', 'کفتار❤️', 'توهين', 'مي', 'کنيم']","['احيانا', 'نمي', 'کنيد', 'داريم', 'اين', 'موجودات', 'ارزش', 'کفتار❤️', 'توهين', 'مي', 'کنيم']"
2060,"RT @nazinbl: شما یادتون نمیاد
ولی خیلیا از اینجا شروع کردن:) https://t.co/p4wGAinRW5",شما یادتون نمیادولی خیلیا از اینجا شروع کردن,"['شما', 'یادتون', 'نمیادولی', 'خیلیا', 'از', 'اینجا', 'شروع', 'کردن']","['یادتون', 'نمیادولی', 'خیلیا']"
2061,"RT @AliReza9119: صف بندی را ببینید؛
رئیسی، سعید جلیلی، سعید محمد، زاکانی و...
جهانگیری،لاریجانی،آخوندی،محسن هاشمی و...

تمام انقلابی‌گری در…",صف بندی را ببینید؛رئیسی سعید جلیلی سعید محمد زاکانی وجهانگیریلاریجانیآخوندیمحسن هاشمی وتمام انقلابیگری در,"['صف', 'بندی', 'را', 'ببینید', '؛', 'رئیسی', 'سعید', 'جلیلی', 'سعید', 'محمد', 'زاکانی', 'وجهانگیریلاریجانیآخوندیمحسن', 'هاشمی', 'وتمام', 'انقلابیگری', 'در']","['صف', 'ببینید', '؛', 'رئیسی', 'سعید', 'جلیلی', 'سعید', 'محمد', 'زاکانی', 'وجهانگیریلاریجانیآخوندیمحسن', 'هاشمی', 'وتمام', 'انقلابیگری']"
2062,"RT @fardineslami79: آقا من فیلیت نمیزنم
هر کی لازم داشت باید فیلتم رو بدم بهش
2تومن پیش 50 اجاره
زندگی خرج داره خب😞☝️",آقا من فیلیت نمیزنمهر کی لازم داشت باید فیلتم رو بدم بهش2تومن پیش 50 اجارهزندگی خرج داره خب☝️,"['آقا', 'من', 'فیلیت', 'نمیزنمهر', 'کی', 'لازم', 'داشت', 'باید', 'فیلتم', 'رو', 'بدم', 'بهش', '2', 'تومن', 'پیش', '50', 'اجارهزندگی', 'خرج', 'داره', 'خب☝️']","['آقا', 'فیلیت', 'نمیزنمهر', 'کی', 'فیلتم', 'بدم', 'بهش', '2', 'تومن', '50', 'اجارهزندگی', 'خرج', 'داره', 'خب☝️']"
2063,@pedrofard3 🤟🏻😘 مرسی پدرام,مرسی پدرام,"['مرسی', 'پدرام']","['مرسی', 'پدرام']"
2064,@Masoodsafa313 دو دوره بهش رأی دادم🚶🏻‍♀️,دو دوره بهش رأی دادم‍♀️,"['دو', 'دوره', 'بهش', 'رأی', 'دادم\u200d♀️']","['دوره', 'بهش', 'رأی', 'دادم\u200d♀️']"
2065,RT @BaghdadOfPersis: «و بدانک بسیار معانی است کی در زبان پارسی از آن عبارتی نیست و همانا بودست، ولکن مندرس شدست بسبب استعمال تازی، چی دلالت…,«و بدانک بسیار معانی است کی در زبان پارسی از آن عبارتی نیست و همانا بودست ولکن مندرس شدست بسبب استعمال تازی چی دلالت,"['«', 'و', 'بدانک', 'بسیار', 'معانی', 'است', 'کی', 'در', 'زبان', 'پارسی', 'از', 'آن', 'عبارتی', 'نیست', 'و', 'همانا', 'بودست', 'ولکن', 'مندرس', 'شدست', 'بسبب', 'استعمال', 'تازی', 'چی', 'دلالت']","['«', 'بدانک', 'معانی', 'کی', 'زبان', 'پارسی', 'عبارتی', 'همانا', 'بودست', 'ولکن', 'مندرس', 'شدست', 'بسبب', 'استعمال', 'تازی', 'چی', 'دلالت']"
2066,چراغ اضطراری هوشمند 350 لومن یکی از محصولات کالای پارس و بزرگترین تولید کننده شعاع توس می باشد .همانطور که در تصویر… https://t.co/1HdqPRandB,چراغ اضطراری هوشمند 350 لومن یکی از محصولات کالای پارس و بزرگترین تولید کننده شعاع توس می باشد همانطور که در تصویر,"['چراغ', 'اضطراری', 'هوشمند', '350', 'لومن', 'یکی', 'از', 'محصولات', 'کالای', 'پارس', 'و', 'بزرگترین', 'تولید', 'کننده', 'شعاع', 'توس', 'می', 'باشد', 'همانطور', 'که', 'در', 'تصویر']","['چراغ', 'اضطراری', 'هوشمند', '350', 'لومن', 'محصولات', 'کالای', 'پارس', 'بزرگترین', 'تولید', 'شعاع', 'توس', 'همانطور', 'تصویر']"
2067,"@ali_kiani110 @Mara_titi1375 باروس برگر /برگر تایم/ منقل برگر /کیوسک
اینجاها برو 🚶🏻‍♀️",باروس برگر /برگر تایم/ منقل برگر /کیوسکاینجاها برو ‍♀️,"['باروس', 'برگر', '/', 'برگر', 'تایم', '/', 'منقل', 'برگر', '/', 'کیوسکاینجاها', 'برو', '\u200d♀️']","['باروس', 'برگر', '/', 'برگر', 'تایم', '/', 'منقل', 'برگر', '/', 'کیوسکاینجاها', 'برو', '\u200d♀️']"
2068,"RT @0h_koya: امروز مرچی یچیزی اپ میکنه 
@weareoneEXO",امروز مرچی یچیزی اپ میکنه,"['امروز', 'مرچی', 'یچیزی', 'اپ', 'میکنه']","['امروز', 'مرچی', 'یچیزی', 'اپ', 'میکنه']"
2069,"RT @Hadis6104L: @kimcutebunny @weareoneEXO @B_hundred_Hyun @layzhang لطف میکنی؟!❤
https://t.co/vpjXiAe2ht
@weareoneEXO @B_hundred_Hyun @lay…",لطف میکنی❤,"['لطف', 'میکنی❤']","['لطف', 'میکنی❤']"
2070,@_billshankly_ اونم فصل بعد میاریم بایرن,اونم فصل بعد میاریم بایرن,"['اونم', 'فصل', 'بعد', 'میاریم', 'بایرن']","['اونم', 'فصل', 'میاریم', 'بایرن']"
2071,"@dicktutun :)))
خنده هم بلدی پس :))) 
برم تا جرم ندادی",خنده هم بلدی پس  برم تا جرم ندادی,"['خنده', 'هم', 'بلدی', 'پس', 'برم', 'تا', 'جرم', 'ندادی']","['خنده', 'بلدی', 'برم', 'جرم', 'ندادی']"
2072,"RT @fairyshadi: کیپاپ فقط یه سرگرمیِ ..زیادی جدی گرفتین،شل کنین قشنگا..
این چیزی که من میبینم هیچ کدوم تون لذتی ام ازش نمیبرید
@weareoneEXO",کیپاپ فقط یه سرگرمیِ زیادی جدی گرفتینشل کنین قشنگااین چیزی که من میبینم هیچ کدوم تون لذتی ام ازش نمیبرید,"['کیپاپ', 'فقط', 'یه', 'سرگرمیِ', 'زیادی', 'جدی', 'گرفتینشل', 'کنین', 'قشنگااین', 'چیزی', 'که', 'من', 'میبینم', 'هیچ', 'کدوم', 'تون', 'لذتی', 'ام', 'ازش', 'نمیبرید']","['کیپاپ', 'یه', 'سرگرمیِ', 'گرفتینشل', 'کنین', 'قشنگااین', 'میبینم', 'کدوم', 'تون', 'لذتی', 'ام', 'ازش', 'نمیبرید']"
2073,@helmasadat1763 جلیلی در مناظرات خودش یک سیبل است.,جلیلی در مناظرات خودش یک سیبل است,"['جلیلی', 'در', 'مناظرات', 'خودش', 'یک', 'سیبل', 'است']","['جلیلی', 'مناظرات', 'سیبل']"
2074,RT @jadesdumpling: این جیمین                        با این پری https://t.co/ZEco0l4iUX,این جیمین با این پری,"['این', 'جیمین', 'با', 'این', 'پری']","['جیمین', 'پری']"
2075,RT @Mohammakhan0: الان باید این رو بذاریم😁🥳,الان باید این رو بذاریم,"['الان', 'باید', 'این', 'رو', 'بذاریم']","['الان', 'بذاریم']"
2076,RT @azadehbano78: #محسن_رضایی : هیچ شهر و روستایی نیست که منابع گسترده ای نداشته باشد و هیچ مردمی در هیچ شهر و روستایی وجود ندارند که صاحب…,محسن رضایی  هیچ شهر و روستایی نیست که منابع گسترده ای نداشته باشد و هیچ مردمی در هیچ شهر و روستایی وجود ندارند که صاحب,"['محسن', 'رضایی', 'هیچ', 'شهر', 'و', 'روستایی', 'نیست', 'که', 'منابع', 'گسترده_ای', 'نداشته_باشد', 'و', 'هیچ', 'مردمی', 'در', 'هیچ', 'شهر', 'و', 'روستایی', 'وجود', 'ندارند', 'که', 'صاحب']","['محسن', 'رضایی', 'شهر', 'روستایی', 'منابع', 'گسترده_ای', 'نداشته_باشد', 'مردمی', 'شهر', 'روستایی', 'صاحب']"
2077,RT @IranIntl: پس از آنکه یک زن حامی احمدی‌نژاد هنگام ثبت‌نام او برای انتخابات گفت با خود خاک تربت کشته‌شدگان ۹۸ را دارد، گروهی از خانواده‌ه…,پس از آنکه یک زن حامی احمدینژاد هنگام ثبتنام او برای انتخابات گفت با خود خاک تربت کشتهشدگان ۹۸ را دارد گروهی از خانوادهه,"['پس', 'از', 'آنکه', 'یک', 'زن', 'حامی', 'احمدینژاد', 'هنگام', 'ثبتنام', 'او', 'برای', 'انتخابات', 'گفت', 'با', 'خود', 'خاک', 'تربت', 'کشتهشدگان', '۹۸', 'را', 'دارد', 'گروهی', 'از', 'خانوادهه']","['زن', 'حامی', 'احمدینژاد', 'ثبتنام', 'انتخابات', 'خاک', 'تربت', 'کشتهشدگان', '۹۸', 'خانوادهه']"
2078,پس چی شد این سوپرایز انتخاباتی؟؟؟!!!,پس چی شد این سوپرایز انتخاباتی,"['پس', 'چی', 'شد', 'این', 'سوپرایز', 'انتخاباتی']","['چی', 'سوپرایز', 'انتخاباتی']"
2079,@Iraniiii4 امیدوارم که مستقیم به آمستردام پرواز داشته باشی تا غم استرالیا رو یه جا بشوره ببره :),امیدوارم که مستقیم به آمستردام پرواز داشته باشی تا غم استرالیا رو یه جا بشوره ببره,"['امیدوارم', 'که', 'مستقیم', 'به', 'آمستردام', 'پرواز', 'داشته_باشی', 'تا', 'غم', 'استرالیا', 'رو', 'یه', 'جا', 'بشوره', 'ببره']","['امیدوارم', 'مستقیم', 'آمستردام', 'پرواز', 'داشته_باشی', 'غم', 'استرالیا', 'یه', 'بشوره', 'ببره']"
2080,@FarsNews_Agency وقتی با بقیه عکساتون از کاندیدهای دیگه مقایسه میکنم به بیشرفیتون پیش از پیش پی میبرم :))))))),وقتی با بقیه عکساتون از کاندیدهای دیگه مقایسه میکنم به بیشرفیتون پیش از پیش پی میبرم,"['وقتی', 'با', 'بقیه', 'عکساتون', 'از', 'کاندیدهای', 'دیگه', 'مقایسه', 'میکنم', 'به', 'بیشرفیتون', 'پیش', 'از', 'پیش', 'پی', 'میبرم']","['بقیه', 'عکساتون', 'کاندیدهای', 'دیگه', 'مقایسه', 'میکنم', 'بیشرفیتون', 'میبرم']"
2081,@kiittycattdream من شما رو فالو کردم😻😻,من شما رو فالو کردم,"['من', 'شما', 'رو', 'فالو', 'کردم']",['فالو']
2082,"RT @manaado: بسمت وزارت کشور
#جلیلی_آمد https://t.co/HOq1vLEzxL",بسمت وزارت کشور جلیلی آمد,"['بسمت', 'وزارت', 'کشور', 'جلیلی', 'آمد']","['بسمت', 'وزارت', 'کشور', 'جلیلی']"
2083,"RT @A_raefipur: #رشتو
سوال: چرا این دوره بسیاری از رجال و سیاستمداران کاندیدای ریاست جمهوری شده اند؟
پاسخ: انگیزه ها متفاوت است
۱- برای یک…",رشتوسوال چرا این دوره بسیاری از رجال و سیاستمداران کاندیدای ریاست جمهوری شده اندپاسخ انگیزه ها متفاوت است۱- برای یک,"['رشتوسوال', 'چرا', 'این', 'دوره', 'بسیاری', 'از', 'رجال', 'و', 'سیاستمداران', 'کاندیدای', 'ریاست', 'جمهوری', 'شده', 'اندپاسخ', 'انگیزه', 'ها', 'متفاوت', 'است', '۱', '-', 'برای', 'یک']","['رشتوسوال', 'دوره', 'رجال', 'سیاستمداران', 'کاندیدای', 'ریاست', 'جمهوری', 'اندپاسخ', 'انگیزه', 'ها', '۱', '-']"
2084,"RT @Saeedsaii: بسم الله الرحمن الرحیم

شرایط سخت، تصمیم‌های شجاعانه می‌خواهد.
مثل #برجام ۲٠دقیقه ای ://
در ضمن همیشه نام خدا بالاتر از متن…",بسم الله الرحمن الرحیمشرایط سخت تصمیمهای شجاعانه میخواهدمثل  برجام ۲٠دقیقه ای //در ضمن همیشه نام خدا بالاتر از متن,"['بسم', 'الله', 'الرحمن', 'الرحیمشرایط', 'سخت', 'تصمیمهای', 'شجاعانه', 'میخواهدمثل', 'برجام', '۲٠', 'دقیقه', 'ای', '/', '/', 'در', 'ضمن', 'همیشه', 'نام', 'خدا', 'بالاتر', 'از', 'متن']","['بسم', 'الله', 'الرحمن', 'الرحیمشرایط', 'سخت', 'تصمیمهای', 'شجاعانه', 'میخواهدمثل', 'برجام', '۲٠', 'دقیقه', 'ای', '/', '/', 'نام', 'خدا', 'بالاتر', 'متن']"
2085,@DTehrany تو که پشیزی ارزش نداری چه برسه با رای دادنت,تو که پشیزی ارزش نداری چه برسه با رای دادنت,"['تو', 'که', 'پشیزی', 'ارزش', 'نداری', 'چه', 'برسه', 'با', 'رای', 'دادنت']","['پشیزی', 'ارزش', 'نداری', 'برسه', 'رای', 'دادنت']"
2086,"#بخداکثیفید 
خودتون/هواداراتون/حامیاتون",بخداکثیفید خودتون/هواداراتون/حامیاتون,"['بخداکثیفید', 'خودتون', '/', 'هواداراتون', '/', 'حامیاتون']","['بخداکثیفید', 'خودتون', '/', 'هواداراتون', '/', 'حامیاتون']"
2087,"RT @Mahsamoghadam4: #محسن_رضایی : 
طی دو دهه اخیر به دلیل بی توجهی به مقوله نوآوری و خلاقیت، کشور به بازاری برای کالاهای ژاپنی و چینی تبدیل…",محسن رضایی  طی دو دهه اخیر به دلیل بی توجهی به مقوله نوآوری و خلاقیت کشور به بازاری برای کالاهای ژاپنی و چینی تبدیل,"['محسن', 'رضایی', 'طی', 'دو', 'دهه', 'اخیر', 'به', 'دلیل', 'بی', 'توجهی', 'به', 'مقوله', 'نوآوری', 'و', 'خلاقیت', 'کشور', 'به', 'بازاری', 'برای', 'کالاهای', 'ژاپنی', 'و', 'چینی', 'تبدیل']","['محسن', 'رضایی', 'دلیل', 'توجهی', 'مقوله', 'نوآوری', 'خلاقیت', 'کشور', 'بازاری', 'کالاهای', 'ژاپنی', 'چینی']"
2088,"RT @786HM1: السلام عليكم 
صبح بخیر 
🌿🍀🌿 https://t.co/iFgQ88wHzD",السلام عليكم صبح بخیر,"['السلام', 'عليكم', 'صبح', 'بخیر']","['السلام', 'عليكم', 'صبح', 'بخیر']"
2089,یکم فراغت پیدا کنم میرم دنبال عکاسی هنری و کارای آتلیه و مادلینگ،دلبرکان زیادی هستن که باید بهشون توجه بشه و نیاز ب… https://t.co/m1894QIOye,یکم فراغت پیدا کنم میرم دنبال عکاسی هنری و کارای آتلیه و مادلینگدلبرکان زیادی هستن که باید بهشون توجه بشه و نیاز ب,"['یکم', 'فراغت', 'پیدا', 'کنم', 'میرم', 'دنبال', 'عکاسی', 'هنری', 'و', 'کارای', 'آتلیه', 'و', 'مادلینگدلبرکان', 'زیادی', 'هستن', 'که', 'باید', 'بهشون', 'توجه', 'بشه', 'و', 'نیاز', 'ب']","['یکم', 'فراغت', 'میرم', 'دنبال', 'عکاسی', 'هنری', 'کارای', 'آتلیه', 'مادلینگدلبرکان', 'هستن', 'بهشون', 'توجه', 'بشه', 'ب']"
2090,RT @Shahr2ad: پس رئیسی تاب نیاورد و غلتید روی پوست خربزه.. عجب!,پس رئیسی تاب نیاورد و غلتید روی پوست خربزه عجب,"['پس', 'رئیسی', 'تاب', 'نیاورد', 'و', 'غلتید', 'روی', 'پوست', 'خربزه', 'عجب']","['رئیسی', 'تاب', 'نیاورد', 'غلتید', 'پوست', 'خربزه', 'عجب']"
2091,@hilalyiraqi @AhmadMullaTalal اذا كنت عراقي اناقشك اما اذاكنت چلب تشريني اسرائیلي ماتشرف بيك,اذا كنت عراقي اناقشك اما اذاكنت چلب تشريني اسرائیلي ماتشرف بيك,"['اذا', 'كنت', 'عراقي', 'اناقشك', 'اما', 'اذاكنت', 'چلب', 'تشريني', 'اسرائیلي', 'ماتشرف', 'بيك']","['اذا', 'كنت', 'عراقي', 'اناقشك', 'اذاكنت', 'چلب', 'تشريني', 'اسرائیلي', 'ماتشرف', 'بيك']"
2092,@sajad_abede اون وقت از اصلاحات کسی مونده که ثبت نام نکنه یا همه اونایی که ثبت نام کردن اصلاحاتی نیستند مثه شیخ حسن...,اون وقت از اصلاحات کسی مونده که ثبت نام نکنه یا همه اونایی که ثبت نام کردن اصلاحاتی نیستند مثه شیخ حسن,"['اون', 'وقت', 'از', 'اصلاحات', 'کسی', 'مونده', 'که', 'ثبت', 'نام', 'نکنه', 'یا', 'همه', 'اونایی', 'که', 'ثبت', 'نام', 'کردن', 'اصلاحاتی', 'نیستند', 'مثه', 'شیخ', 'حسن']","['اون', 'وقت', 'اصلاحات', 'مونده', 'ثبت', 'نام', 'نکنه', 'اونایی', 'ثبت', 'نام', 'اصلاحاتی', 'مثه', 'شیخ', 'حسن']"
2093,RT @DrNaserSana2: اگر گلبدین و اشرف غنی با هم یکجا شوند، قطعاً بخاطر احمد پسر احمدشاه مسعود است. چون گلبدین از احمدشاه مسعود خاطره های خیلی…,اگر گلبدین و اشرف غنی با هم یکجا شوند قطعاً بخاطر احمد پسر احمدشاه مسعود است چون گلبدین از احمدشاه مسعود خاطره های خیلی,"['اگر', 'گلبدین', 'و', 'اشرف', 'غنی', 'با', 'هم', 'یکجا', 'شوند', 'قطعاً', 'بخاطر', 'احمد', 'پسر', 'احمدشاه', 'مسعود', 'است', 'چون', 'گلبدین', 'از', 'احمدشاه', 'مسعود', 'خاطره', 'های', 'خیلی']","['گلبدین', 'اشرف', 'غنی', 'یکجا', 'قطعاً', 'بخاطر', 'احمد', 'پسر', 'احمدشاه', 'مسعود', 'گلبدین', 'احمدشاه', 'مسعود', 'خاطره', 'های']"
2094,@BugReporter76 نکته حرف را نگرفتید.,نکته حرف را نگرفتید,"['نکته', 'حرف', 'را', 'نگرفتید']","['نکته', 'حرف', 'نگرفتید']"
2095,"RT @lvlalvllvlad: #محسن_رضایی امروز:
آقایانی که این چند روز آمدند از فساد گفتند، ولی چرا سهم خودشان از این فساد و تبعیض را نگفتند؟
#آقامحسن…",محسن رضایی امروزآقایانی که این چند روز آمدند از فساد گفتند ولی چرا سهم خودشان از این فساد و تبعیض را نگفتند آقامحسن,"['محسن', 'رضایی', 'امروزآقایانی', 'که', 'این', 'چند', 'روز', 'آمدند', 'از', 'فساد', 'گفتند', 'ولی', 'چرا', 'سهم', 'خودشان', 'از', 'این', 'فساد', 'و', 'تبعیض', 'را', 'نگفتند', 'آقامحسن']","['محسن', 'رضایی', 'امروزآقایانی', 'روز', 'آمدند', 'فساد', 'گفتند', 'خودشان', 'فساد', 'تبعیض', 'نگفتند', 'آقامحسن']"
2096,@j_hemmat ما شاء الله😊 خدا خانواده خوب تون رو حفظ کنه 🤲🍁,ما شاء الله خدا خانواده خوب تون رو حفظ کنه,"['ما', 'شاء', 'الله', 'خدا', 'خانواده', 'خوب', 'تون', 'رو', 'حفظ', 'کنه']","['شاء', 'الله', 'خدا', 'خانواده', 'تون', 'حفظ', 'کنه']"
2097,@jaazestan @faram34422891 اینو قبول دارم . کرونایی که به اسم کرونا هندی شناخته شد قویترین و کشنده ترین نوع کرونایی بود ک موجود شد,اینو قبول دارم  کرونایی که به اسم کرونا هندی شناخته شد قویترین و کشنده ترین نوع کرونایی بود ک موجود شد,"['اینو', 'قبول', 'دارم', 'کرونایی', 'که', 'به', 'اسم', 'کرونا', 'هندی', 'شناخته_شد', 'قویترین', 'و', 'کشنده', 'ترین', 'نوع', 'کرونایی', 'بود', 'ک', 'موجود', 'شد']","['اینو', 'قبول', 'دارم', 'کرونایی', 'اسم', 'کرونا', 'هندی', 'شناخته_شد', 'قویترین', 'کشنده', 'ترین', 'کرونایی', 'ک', 'موجود']"
2098,RT @hojaji_966: نباید هرانقلابی را مدیر دانست یا هر مدیری را متدین و ولایی بدانیم تک بعدی فکر نکنیم. کفایت مدیریتی که حضرت آقا تاکید دارند…,نباید هرانقلابی را مدیر دانست یا هر مدیری را متدین و ولایی بدانیم تک بعدی فکر نکنیم کفایت مدیریتی که حضرت آقا تاکید دارند,"['نباید', 'هرانقلابی', 'را', 'مدیر', 'دانست', 'یا', 'هر', 'مدیری', 'را', 'متدین', 'و', 'ولایی', 'بدانیم', 'تک', 'بعدی', 'فکر', 'نکنیم', 'کفایت', 'مدیریتی', 'که', 'حضرت', 'آقا', 'تاکید', 'دارند']","['هرانقلابی', 'مدیر', 'مدیری', 'متدین', 'ولایی', 'بدانیم', 'تک', 'بعدی', 'نکنیم', 'کفایت', 'مدیریتی', 'حضرت', 'آقا', 'تاکید']"
2099,"RT @BARANDAAZ_NEWS: #فوری
ارتش اسرائیل لحظاتی پیش اعلام کرد:
گروه تروریستی حماس مناطق مسکونی در نوار غزه را به سنگرهای نظامی تبدیل کرده.…",فوریارتش اسرائیل لحظاتی پیش اعلام کردگروه تروریستی حماس مناطق مسکونی در نوار غزه را به سنگرهای نظامی تبدیل کرده,"['فوریارتش', 'اسرائیل', 'لحظاتی', 'پیش', 'اعلام', 'کردگروه', 'تروریستی', 'حماس', 'مناطق', 'مسکونی', 'در', 'نوار', 'غزه', 'را', 'به', 'سنگرهای', 'نظامی', 'تبدیل', 'کرده']","['فوریارتش', 'اسرائیل', 'لحظاتی', 'اعلام', 'کردگروه', 'تروریستی', 'حماس', 'مناطق', 'مسکونی', 'نوار', 'غزه', 'سنگرهای', 'نظامی']"
2100,۱۲۰۰ دکتر مصری تصمیم گرفته‌اند برای مداوای زخمی‌های حملات اسراییل به غزه بروند.,۱۲۰۰ دکتر مصری تصمیم گرفتهاند برای مداوای زخمیهای حملات اسراییل به غزه بروند,"['۱۲۰۰', 'دکتر', 'مصری', 'تصمیم', 'گرفتهاند', 'برای', 'مداوای', 'زخمیهای', 'حملات', 'اسراییل', 'به', 'غزه', 'بروند']","['۱۲۰۰', 'دکتر', 'مصری', 'تصمیم', 'گرفتهاند', 'مداوای', 'زخمیهای', 'حملات', 'اسراییل', 'غزه', 'بروند']"
2101,"@Elham__es عیبش اینه که فقط برای خودنمایی ثبت نام کردند.
اگر دولت قوانین کشور رو تمکین نمیکنه دلیل نمشه روحانیِ دین… https://t.co/F0pnisQszg",عیبش اینه که فقط برای خودنمایی ثبت نام کردنداگر دولت قوانین کشور رو تمکین نمیکنه دلیل نمشه روحانیِ دین,"['عیبش', 'اینه', 'که', 'فقط', 'برای', 'خودنمایی', 'ثبت', 'نام', 'کردنداگر', 'دولت', 'قوانین', 'کشور', 'رو', 'تمکین', 'نمیکنه', 'دلیل', 'نمشه', 'روحانیِ', 'دین']","['عیبش', 'اینه', 'خودنمایی', 'ثبت', 'نام', 'کردنداگر', 'دولت', 'قوانین', 'کشور', 'تمکین', 'نمیکنه', 'دلیل', 'نمشه', 'روحانیِ', 'دین']"
2102,@jeon_taekooki تا اینجا فقط و فقط رو ی نفر کراش داشتم و دارم که ایشونه https://t.co/OUtIbVvOJb,تا اینجا فقط و فقط رو ی نفر کراش داشتم و دارم که ایشونه,"['تا', 'اینجا', 'فقط', 'و', 'فقط', 'رو', 'ی', 'نفر', 'کراش', 'داشتم', 'و', 'دارم', 'که', 'ایشونه']","['ی', 'نفر', 'کراش', 'داشتم', 'دارم', 'ایشونه']"
2103,@AKeykhaii آیدا جان چیزهایی که گفتی همه جزو روش های cognitive therapy هست و نمیدونم روانشناس بهت یاد داده یا خودت خ… https://t.co/aphyWqxqS5,آیدا جان چیزهایی که گفتی همه جزو روش های cognitive therapy هست و نمیدونم روانشناس بهت یاد داده یا خودت خ,"['آیدا', 'جان', 'چیزهایی', 'که', 'گفتی', 'همه', 'جزو', 'روش', 'های', 'cognitive', 'therapy', 'هست', 'و', 'نمیدونم', 'روانشناس', 'بهت', 'یاد', 'داده', 'یا', 'خودت', 'خ']","['آیدا', 'جان', 'چیزهایی', 'گفتی', 'جزو', 'های', 'cognitive', 'therapy', 'هست', 'نمیدونم', 'روانشناس', 'بهت', 'یاد', 'خودت', 'خ']"
2104,@Firouzeh_ دو دقیقه دیگه باش کلاس دارم https://t.co/wZ53fgPtfA,دو دقیقه دیگه باش کلاس دارم,"['دو', 'دقیقه', 'دیگه', 'باش', 'کلاس', 'دارم']","['دقیقه', 'دیگه', 'باش', 'کلاس', 'دارم']"
2105,@hamlet20002002 من كرج هستم،اگه ميشناسيد ممنون ميشم.,من كرج هستماگه ميشناسيد ممنون ميشم,"['من', 'كرج', 'هستماگه', 'ميشناسيد', 'ممنون', 'ميشم']","['كرج', 'هستماگه', 'ميشناسيد', 'ممنون', 'ميشم']"
2106,@its_reza_ چاح چاح,چاح چاح,"['چاح', 'چاح']","['چاح', 'چاح']"
2107,RT @TurkKhar: کاش می‌شد بخوابم، برای یک سال مثلا.,کاش میشد بخوابم برای یک سال مثلا,"['کاش', 'میشد', 'بخوابم', 'برای', 'یک', 'سال', 'مثلا']","['کاش', 'میشد', 'بخوابم', 'سال', 'مثلا']"
2108,"@shadow_girl_02 البته ما یه کم پیاز داغشو زیاد کردیم وگرنه بردن تیم سید ۳ آسیا زیاد خوشحالی نداره

یه چیزی تو مایه های گوا رو بردیم دیگه",البته ما یه کم پیاز داغشو زیاد کردیم وگرنه بردن تیم سید ۳ آسیا زیاد خوشحالی ندارهیه چیزی تو مایه های گوا رو بردیم دیگه,"['البته', 'ما', 'یه', 'کم', 'پیاز', 'داغشو', 'زیاد', 'کردیم', 'وگرنه', 'بردن', 'تیم', 'سید', '۳', 'آسیا', 'زیاد', 'خوشحالی', 'ندارهیه', 'چیزی', 'تو', 'مایه', 'های', 'گوا', 'رو', 'بردیم', 'دیگه']","['یه', 'پیاز', 'داغشو', 'کردیم', 'وگرنه', 'بردن', 'تیم', 'سید', '۳', 'آسیا', 'خوشحالی', 'ندارهیه', 'مایه', 'های', 'گوا', 'بردیم', 'دیگه']"
2109,"@elyas_ghanbari1 @MohammadVahidii وقتی معیارهای اصلح بودنت رو خوندم احساس کردم چندتا رو جا گذاشتی ::
هم نامهربونه… https://t.co/fkOjcBpsdi",وقتی معیارهای اصلح بودنت رو خوندم احساس کردم چندتا رو جا گذاشتی هم نامهربونه,"['وقتی', 'معیارهای', 'اصلح', 'بودنت', 'رو', 'خوندم', 'احساس', 'کردم', 'چندتا', 'رو', 'جا', 'گذاشتی', 'هم', 'نامهربونه']","['معیارهای', 'اصلح', 'بودنت', 'خوندم', 'احساس', 'چندتا', 'گذاشتی', 'نامهربونه']"
